n,d,s0,graph_type,sem_type,lambda1,loss_type,loss_est,loss_l1,obj_aug,obj_dual,h
10.0,10.0,10.0,ER,gauss,0.0,l2,2.5393002141185663,2.5393002141185663,2.5393271130193638,2.4209722199047965,2.3194353104827314e-09
10.0,10.0,10.0,ER,exp,0.0,l2,1.9155863600826302,1.9155863600826302,1.915615493109646,1.503644269280912,2.413836241998979e-09
10.0,10.0,10.0,ER,gumbel,0.0,l2,3.7537925702645474,3.7537925702645474,3.7538435325461954,3.4887745466518987,3.1925626586826183e-09
10.0,10.0,10.0,ER,uniform,0.0,l2,0.622167835857286,0.622167835857286,0.6221739207359215,0.5342633025253102,3.4885179189814153e-09
10.0,20.0,20.0,ER,gauss,0.0,l2,1.8447024086042614,1.8447024086042614,1.8447785068997875,0.7952923070911462,1.233679824963474e-09
10.0,20.0,20.0,ER,exp,0.0,l2,2.0205109430682873,2.0205109430682873,2.0205977192073554,0.95000691477697,1.3173924173770502e-09
10.0,20.0,20.0,ER,gumbel,0.0,l2,4.4486118289900345,4.4486118289900345,4.44867628094814,1.4521462976495474,3.5903191530906042e-09
10.0,20.0,20.0,ER,uniform,0.0,l2,1.260253680080243,1.260253680080243,1.2602694393058576,0.44520174590017914,5.614129605646667e-09
10.0,40.0,40.0,ER,gauss,0.0,l2,11.136826927118648,11.136826927118648,11.137248345123094,1.0850329336300846,9.18061004995252e-09
10.0,40.0,40.0,ER,exp,0.0,l2,10.404729520918908,10.404729520918908,10.824804814149745,2.762520282483468,9.165972869595862e-09
10.0,40.0,40.0,ER,gumbel,0.0,l2,26.328050351126286,26.328050351126286,26.8817713909924,4.790101963729968,1.0523507398829679e-08
10.0,40.0,40.0,ER,uniform,0.0,l2,4.0621021059160745,4.0621021059160745,4.097032567738331,0.6951215865585897,8.358284731002641e-09
10.0,60.0,60.0,ER,gauss,0.0,l2,20.714744083747743,20.714744083747743,21.597198761852038,5.622389919413717,1.3284989108797163e-08
10.0,60.0,60.0,ER,exp,0.0,l2,41.97708237624752,41.97708237624752,42.00199175371045,1.0384034570643845,7.058240214519174e-09
10.0,60.0,60.0,ER,gumbel,0.0,l2,85.67618840264556,85.67618840264556,88.73194801979447,12.95861702803619,2.472148707965971e-08
10.0,60.0,60.0,ER,uniform,0.0,l2,9.946374217670556,9.946374217670556,10.45638285873105,2.699226869215707,1.0099590497247846e-08
10.0,80.0,80.0,ER,gauss,0.0,l2,32.53839577347997,32.53839577347997,33.702328206614425,4.903980720297204,1.525734205642948e-08
10.0,80.0,80.0,ER,exp,0.0,l2,49.613200595133755,49.613200595133755,49.644464216492565,0.8026736324208372,7.907416943453427e-09
10.0,80.0,80.0,ER,gumbel,0.0,l2,67.87931204306805,67.87931204306805,69.49674130921882,8.532933709192108,1.7985712474910542e-08
10.0,80.0,80.0,ER,uniform,0.0,l2,12.174514078280533,12.174514078280533,12.764953771105388,2.50958235704077,1.0866827437894244e-08
100.0,10.0,10.0,ER,gauss,0.0,l2,5.0193105477956435,5.0193105477956435,5.019374186374865,4.671699944581596,3.5675924436873174e-09
100.0,10.0,10.0,ER,exp,0.0,l2,4.700156551785585,4.700156551785585,4.700204862337662,4.4204569727816025,3.1083935425613163e-09
100.0,10.0,10.0,ER,gumbel,0.0,l2,7.5581554554430275,7.5581554554430275,7.5582162188047874,7.092401679739579,3.4860683228998823e-09
100.0,10.0,10.0,ER,uniform,0.0,l2,1.6646145574304307,1.6646145574304307,1.6647010061720227,1.5421749704785168,4.158094313311267e-09
500.0,10.0,10.0,ER,gauss,0.0,l2,5.063384590998351,5.063384590998351,5.06351381692573,5.023504070539447,5.083816034812116e-09
500.0,10.0,10.0,ER,exp,0.0,l2,5.036564589031891,5.036564589031891,5.036662016981973,4.87527532897507,4.414248522266462e-09
500.0,10.0,10.0,ER,gumbel,0.0,l2,8.434869528211747,8.434869528211747,8.435324861877147,8.350365545426541,3.017726513121488e-09
500.0,10.0,10.0,ER,uniform,0.0,l2,1.661814913470307,1.661814913470307,1.6618590199212506,1.6301320106904131,9.39217237316825e-09
1000.0,10.0,10.0,ER,gauss,0.0,l2,4.941806516238124,4.941806516238124,4.9419115656717985,4.911883196898284,1.449478759241174e-09
1000.0,10.0,10.0,ER,exp,0.0,l2,5.1637893813954365,5.1637893813954365,5.163887787636427,5.124104814657004,4.436355283132798e-09
1000.0,10.0,10.0,ER,gumbel,0.0,l2,8.147693043742743,8.147693043742743,8.14780161356582,8.096046204393563,4.659824526243028e-09
1000.0,10.0,10.0,ER,uniform,0.0,l2,1.6782208946834913,1.6782208946834913,1.6782937924492898,1.6696377959500788,3.818318106141305e-09
